SPECIES,M160a,M160b,M280a,M280b,M530a,M530b,M820a,M820b,M990a,M990b,M1220a,M1220b
Calomicrolaimus M3,2.04999425,0,0,2.577108886,1.284365588,0,0,2.496084961,0,1.372789018,2.538416769,6.989295064
Calomicrolaimus M4,0,5.239604448,0,0,0,0,0,0,0,0,0,0
Camacolaimus,0,2.960208756,0,0,0,0,0,0,0,0,1.274293354,0
Camacolaimus M1,0,0,0,0,0,0,0,0,0,1.248094015,0,0
Camacolaimus M2,1.191173956,0,1.25658754,0,2.53002864,0,0,0,1.270450484,0,1.264462413,0
Camacolaimus M3,1.538503693,0,0,0,0,0,0,0,0,2.620311038,0,0
Camacolaimus M4,1.538503693,0,0,0,0,0,0,0,0,0,0,0
Camacolaimus M5,0,3.620052219,0,0,0,0,0,0,0,0,0,0
Campylaimus gerlachi,1.538503693,5.239604448,2.879411276,5.959133796,3.876238485,2.346866613,1.155306845,1.09898299,3.75227122,3.958208334,0,0
Campylaimus M2,0,0,0,0,0,0,0,0,1.270450484,0,0,0
Campylaimus M3,1.191173956,1.340656528,0,0,0,0,0,0,0,0,0,0
Campylaimus M5,2.04999425,0,0,0,0,0,2.703817296,2.347466475,0,0,0,0
Ceramonema,5.638492192,4.300166297,4.062429375,1.209342047,1.315487214,0,1.155306845,1.24804248,0,1.372789018,0,2.327989032
Ceramonema chitwoodi,0,0,1.439705638,1.209342047,0,0,0,0,0,0,0,0
Ceramonema M1,0,0,0,0,0,0,0,0,0,1.213202294,0,0
Ceramonema M2,0,0,0,0,0,0,0,0,0,1.213202294,0,0
Ceramonema M3,0,0,1.439705638,0,1.315487214,0,0,0,0,0,0,0
Ceramonema M5,0,0,3.806278838,0,0,0,0,0,0,0,0,0
Ceramonema M6,0,0,0,0,1.315487214,0,0,0,0,0,0,0
Ceramonema M7,0,0,0,0,0,1.937632249,0,0,0,0,0,0
Ceramonema M8,0,0,0,1.120781604,0,0,0,0,0,0,0,0
Ceramonema M9,0,10.42328996,0,0,0,0,0,0,0,0,0,0
Cervonema,0,0,1.315657894,1.209342047,0,0,0,0,0,1.372789018,0,1.303687178
Cervonema jenseni,0,0,0,0,0,1.173433306,0,3.394410944,1.727307545,2.426404589,1.274293354,0
Cervonema M2,0,0,1.183018098,0,0,0,0,0,0,0,0,2.327989032
Cervonema M4,0,0,0,0,0,0,0,0,0,0,2.528585828,0
Cervonema M5,0,0,1.183018098,0,0,0,1.106698893,0,0,0,0,0
Cervonema tenuicaudatum,1.538503693,7.519699126,5.5499283,3.495185476,5.230428235,1.193131227,1.106698893,3.595508955,0,0,0,0
Chromadoridae,3.077007385,17.36352909,5.245984476,4.660247301,1.315487214,0,0,2.496084961,0,0,1.48006512,1.161164033
Chromadoridae M1,3.588497942,0,0,0,3.914941021,0,0,0,0,0,0,0
Chromadoridae M2,1.538503693,0,0,0,1.315487214,2.366564534,0,0,0,0,0,0
Chromadoridae M3,0,0,0,0,1.315487214,0,0,0,0,0,0,0
Chromadoridae M4,1.538503693,0,0,0,0,0,0,0,0,0,0,0
